id,name,content,created_at,updated_at,user_id
1,access rails logger when using pow,tail -f log/development.log,2012-10-30 01:54:22 UTC,2012-10-30 01:54:22 UTC,
2,restart pow app,touch tmp/restart.txt,2012-10-30 01:55:03 UTC,2012-10-30 01:55:03 UTC,
3,setup pow app,cd ~/.pow ln -s /path/to/myapp,2012-10-30 01:55:24 UTC,2012-10-30 01:55:24 UTC,
5,add migration to existing model,"rails g migration add_index_to_gists add_index :gists, :slug",2012-10-30 13:19:01 UTC,2012-10-30 13:19:12 UTC,
6,migrate db,bundle exec rake db:migrate,2012-10-30 13:22:31 UTC,2012-10-30 13:22:31 UTC,
7,add github repo,git remote add origin https://github.com/acdcwebs/jog.git,2012-10-30 13:23:12 UTC,2012-10-30 13:23:12 UTC,
8,dropdown,<%= f.association :organization %>,2012-10-30 13:25:38 UTC,2012-10-30 13:25:38 UTC,
9,access controllers in application.html.erb," class ApplicationController < ActionController::Base       before_filter :load_application_wide_varibales        private        def load_application_wide_varibales         @var = Model.where :condition => ""whatever""       end     end",2012-10-31 15:53:34 UTC,2012-10-31 15:53:34 UTC,
14,?debug_assets=1,view each file being loaded in asset pipeline,2012-10-31 16:29:50 UTC,2012-10-31 20:11:15 UTC,
55,git commit,"git commit -m ""Create a README.""",2012-10-31 22:24:37 UTC,2012-10-31 22:24:37 UTC,
56,git add all new or mdified files,git add --all,2012-10-31 22:25:16 UTC,2012-10-31 22:25:16 UTC,
57,git add remote,git remote add origin https://github.com/Gregg/git-real.git,2012-10-31 22:26:00 UTC,2012-10-31 22:26:00 UTC,
80,Heroku assets:precompile plugin,https://devcenter.heroku.com/articles/labs-user-env-compile,2012-11-07 20:00:53 UTC,2012-11-07 20:00:53 UTC,
82,Heroku tail logs,heroku logs -t,2012-11-08 13:38:28 UTC,2012-11-08 13:38:28 UTC,
83,Heroku load db:schema,heroku run rake db:schema:load,2012-11-08 13:48:45 UTC,2012-11-08 13:48:45 UTC,
84,Heroku: connect to database,heroku pg:psql ,2012-11-08 19:18:07 UTC,2012-11-08 19:18:07 UTC,
85,Postgres: show tables,\d,2012-11-08 19:18:54 UTC,2012-11-08 19:18:54 UTC,
86,Postgres: show columns,\d table,2012-11-08 19:19:24 UTC,2012-11-08 19:19:24 UTC,